pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score
Kepler-1286 b,Kepler-1286,1,1,Transit,2016.0,11.25402929,,,,2.15,,,5753.0,0.98,1.0,0.0,4.17,0.03,,,,0.9938617111140393,1.6925038729928537,,,0.0,,0.8816130835554857,0.998498817743263,0.14042396392646728
Kepler-393 b,Kepler-393,1,2,Transit,2014.0,9.182417,0.091,,,1.29,,1063.8043056976862,6189.0,1.382,,,,,,,,,,,,1.0,,0.7304019921534924,,0.1384321593722794
Kepler-186 e,Kepler-186,1,5,Transit,2014.0,22.407704,0.11,,,1.27,,346.0927986634331,3788.0,0.472,0.478,-1.385,4.0,-0.28,M1,,3.4057646206390926,0.21900661322788947,0.4155461072631403,0.0,0.0,1.0,,0.7214934349341331,0.7824497764231124,0.2526683147074562
Kepler-97 b,Kepler-97,1,2,Transit,2014.0,2.58664,,,3.51,1.48,5.44,,5779.0,0.98,0.94,-0.09405251240105479,8.42,-0.2,,17.24807862389942,,0.8909305273849593,1.5154539799264555,,,1.0,,0.8738438718986261,0.997268039236989,0.33971627249572106
Kepler-394 b,Kepler-394,1,3,Transit,2014.0,8.005013,0.083,,,1.6,,1042.816208447873,6402.0,1.132,,,,,,,,,,,,0.0,,0.646100064305773,,0.05168800514446185
Kepler-1287 b,Kepler-1287,1,1,Transit,2016.0,11.47685909,,,,1.54,,,5715.0,0.94,0.96,-0.06205068436151063,4.07,-0.05,,,,0.9267606606993147,1.5809331988949753,,,1.0,,0.8926099714968552,0.9977621514787236,0.22125214832325907
KOI-134 b,KOI-134,1,2,Transit,2025.0,67.1277,0.363,0.16,346.43296363,12.03844527,1.0941065044305232,659.0,6160.0,1.667,1.407,0.62325,,0.427,F9V,60.08172952688167,31.874013329890296,2.0038259406328267,3.352993212868143,0.0,0.0,0.0,0.20616430105219757,0.7415429305201228,0.9999743258439833,0.2905544975260605
Kepler-187 b,Kepler-187,1,2,Transit,2014.0,4.938864,0.059,,,1.41,,1257.6415339816024,6105.0,1.287,,,,,,,,,,,,1.0,,0.7623580979346086,,0.1409886478347687
Kepler-1288 b,Kepler-1288,1,1,Transit,2016.0,2.76122421,,,,1.12,,,6132.0,1.29,1.2,0.2771343611666868,2.88,0.14,,,,1.346749862189717,2.256143230702994,,,1.0,,0.7521940907828958,0.9997965730219448,0.21016128737416784
Kepler-1994 b,Kepler-1994,1,1,Transit,2023.0,4.61225043,0.053,0.0,,0.51,,1032.0,5495.0,0.961,0.932,-0.10704430676106513,,0.16,,,278.2299989030855,0.887868973811295,1.5300240999074088,0.0,0.0,1.0,,0.9470058579669858,0.9970411754780928,0.22555335092082535
Kepler-1289 b,Kepler-1289,1,1,Transit,2016.0,7.99019627,,,,1.52,,,6080.0,1.17,1.1,0.1448743980537878,2.95,0.02,,,,1.1589332717256575,1.9457481910821395,,,1.0,,0.7716686738745262,0.9994472213630764,0.21169479940537744
Kepler-512 b,Kepler-512,1,1,Transit,2016.0,34.43587975,,,,2.69,,,5997.0,1.3,1.17,0.23865051611156565,3.72,0.22,,,,1.295354411468074,2.182475464021674,,,0.0,,0.8018041612604643,0.9997254218438986,0.13412511242991004
Kepler-1290 b,Kepler-1290,1,1,Transit,2016.0,4.69500134,,,,1.42,,,5660.0,0.93,0.95,-0.07796738148903291,4.07,-0.02,,,,0.9119606444896629,1.5595730524445506,,,1.0,,0.9077375354868296,0.9975273768433653,0.22244591921798196
Kepler-189 b,Kepler-189,1,2,Transit,2014.0,10.399931,0.088,,,1.21,,674.0838424182432,5235.0,0.75,,,,,,,,,,,,1.0,,0.9878027743917152,,0.15902422196340937
Kepler-1291 b,Kepler-1291,1,1,Transit,2016.0,8.63043276,,,,1.66,,,5216.0,0.8,0.84,-0.2650224987834143,4.9,-0.04,,,,0.7487195391703556,1.3077609606621359,,,0.0,,0.9896855624403801,0.9926084586557181,0.14865743710113066
