pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score,phl_esi,phl_habitable,phl_hz_con,phl_hz_opt,phl_flux,phl_type,phl_type_temp
Kepler-1267 b,Kepler-1267,1,1,Transit,2016.0,13.0313945,,,,3.01,,,6096.0,1.2,1.15,0.2124424412376407,3.24,0.07,,,,1.25188636915498,2.1003918597548115,,,0.0,0.22287877,0.7657213954685367,0.9996646498695336,0.1312342371283503,0.22287877,0.0,0.0,0.0,90.125985,Neptunian,Hot
Kepler-1268 b,Kepler-1268,1,1,Transit,2016.0,40.9903986,,,,2.03,,,5904.0,1.09,1.06,0.0885705284266958,4.27,0.05,,,,1.093878825375625,1.8504399758397507,,,0.0,0.28656171,0.8339318825524922,0.9991755753136016,0.1366568408761515,0.28656171,0.0,0.0,0.0,38.97193,Superterran,Hot
Kepler-1849 b,Kepler-1849,1,1,Transit,2021.0,57.29290009,,,,2.38685349,,,4806.0,0.729,0.709,-0.5227381768592672,,-0.1,,,,0.5660231115826555,1.009876490378535,,,0.0,0.52803948,0.9916713216749286,0.9731428812151904,0.1474537074190576,0.52803948,0.0,0.0,0.0,3.2289112,Superterran,Hot
Kepler-169 c,Kepler-169,1,5,Transit,2014.0,6.195469,0.062,,,1.21,,773.1855152033852,4997.0,0.763,,,,,,,,,,,,1.0,0.30646133,0.999998000002,,0.15999984000016,0.30646133,0.0,0.0,0.0,83.026479,Terran,Hot
Kepler-1850 b,Kepler-1850,1,1,Transit,2021.0,1.385800004,,,,0.72909663,,,4239.0,0.6,0.611,-0.7488557641510603,,-0.22,,,,0.4468286248955019,0.8235913589964542,,,1.0,0.28807761,0.8792433635097825,0.931502396275674,0.2155446368200798,0.28807761,0.0,0.0,0.0,364.97705,Subterran,Hot
Kepler-1851 b,Kepler-1851,1,1,Transit,2021.0,12.02289963,,,,3.90012032,,,5982.0,0.879,0.967,-0.0510073407094942,,-0.28,,,,0.9285829997397972,1.5655283564549087,,,0.0,0.18915279,0.8071108801280549,0.9979131281410448,0.1344227893801175,0.18915279,0.0,0.0,0.0,111.2276,Neptunian,Hot
Kepler-436 c,Kepler-436,1,2,Transit,2016.0,16.79713874,,,,2.33,,,4685.0,0.71,0.75,-0.4372855781290498,4.07,0.02,,,,0.6277054276711336,1.1273648657216349,,,0.0,0.32606939,0.9781913242622374,0.9820137900379085,0.1469962712436326,0.32606939,0.0,0.0,0.0,13.854246,Superterran,Hot
Kepler-1269 b,Kepler-1269,1,1,Transit,2016.0,37.3331536,,,,1.63,,,5998.0,1.15,1.1,0.1448743980537878,3.55,0.07,,,,1.1627414397321776,1.958958833544123,,,0.0,0.29212664,0.801448773532406,0.9994472213630764,0.1340772073780078,0.29212664,0.0,0.0,0.0,70.434125,Superterran,Hot
Kepler-1852 b,Kepler-1852,1,1,Transit,2021.0,7.970940113,,,,1.88610592,,,5237.0,0.826,0.927,-0.1152209304942601,,0.24,,,,0.8888839148316003,1.5509648041316575,,,0.0,0.28119072,0.9875955770542788,0.9968899451029696,0.1487899423215501,0.28119072,0.0,0.0,0.0,63.692758,Superterran,Hot
Kepler-1270 b,Kepler-1270,1,1,Transit,2016.0,6.03356196,,,,3.32,,,5047.0,3.38,1.28,0.3752348937675393,4.37,-0.02,,,,1.5757038418782785,2.775834564513116,,,0.0,0.19843598,0.999509231577349,0.9999085841261478,0.1499543394150183,0.19843598,0.0,0.0,0.0,1174.8244,Neptunian,Hot
Kepler-1271 b,Kepler-1271,1,1,Transit,2016.0,3.0255955,,,,1.48,,,6143.0,1.23,1.13,0.1857745521919689,3.63,-0.01,,,,1.211759793283714,2.0290687574666704,,,1.0,0.28123409,0.7480226654971215,0.999590432835014,0.2098131435382207,0.28123409,0.0,0.0,0.0,947.64884,Terran,Hot
Kepler-1853 b,Kepler-1853,1,1,Transit,2021.0,48.88819885,,,,1.51862272,,,4821.0,0.788,0.765,-0.4071849769623383,,0.16,,,,0.6461587484981148,1.151919200041788,,,1.0,0.51517769,0.9929050665039784,0.9844802434215912,0.2283460223598296,0.51517769,0.0,0.0,0.0,4.7795715,Terran,Hot
Kepler-172 d,Kepler-172,1,4,Transit,2014.0,14.627119,0.118,,,2.25,,739.0820959416841,5526.0,1.085,,,,,,,,,,,,0.0,0.26184967,0.9403684094483488,,0.075229472755872,0.26184967,0.0,0.0,0.0,66.716919,Superterran,Hot
Kepler-1272 b,Kepler-1272,1,1,Transit,2016.0,51.1309704,,,,2.37,,,5926.0,1.09,1.06,0.0885705284266958,3.89,0.06,,,,1.092912504200514,1.8470373847742407,,,0.0,0.27617091,0.8265042478067037,0.9991755753136016,0.1360626300964884,0.27617091,0.0,0.0,0.0,32.038005,Superterran,Hot
Kepler-1854 b,Kepler-1854,1,1,Transit,2021.0,39.83110046,,,,2.58746104,,,5026.0,0.759,0.8,-0.3391850455281974,,0.0,,,,0.6928543205695742,1.2218862013333172,,,0.0,0.37715145,0.9998497890605708,0.9890130573694068,0.1492188971407041,0.37715145,0.0,0.0,0.0,7.3915937,Neptunian,Hot
Kepler-391 b,Kepler-391,1,2,Transit,2014.0,7.4175,0.083,0.46,1100.0,2.5,380.0,930.0,5038.0,2.879,1.27,0.66276,4.365,0.04,K2 III-IV,234.93318199011392,667.7344994412368,2.19481953330013,3.86828906285804,0.0,0.0,1.0,0.0723515833647936,0.999679162590444,0.9998989708060922,0.3644375776366207,0.20376217,0.0,0.0,0.0,624.26976,Neptunian,Hot
Kepler-1855 b,Kepler-1855,1,1,Transit,2021.0,0.727330983,,,,1.216205,,,3460.0,0.356,0.385,-1.4508874467202475,,0.07,,,,0.2059185264063395,0.3998503088145635,,,1.0,0.29320405,0.5903603166965461,0.5866175789173301,0.1682920558599367,0.29320405,0.0,0.0,0.0,383.35781,Terran,Hot
